MID|MERCHANT_DBA_NAME|MSO|SOURCE_CODE|WILAYAH|CHANNEL|TAHUN|BULAN
201176567|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176575|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176583|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176591|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176609|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176617|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176625|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176633|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176641|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176658|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176666|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176674|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176682|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176690|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176708|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176716|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176724|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176732|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176740|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176757|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176765|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176773|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176781|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176799|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176807|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176815|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176823|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176831|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176849|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176856|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176864|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176872|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
